Date,Open,High,Low,Close
2020/11/2,12565.32,12594.34,12480.66,12591.31
2020/11/3,12641.28,12760.14,12641.28,12736.01
2020/11/4,12766.86,12885.28,12736.02,12867.9
2020/11/5,12878.01,12918.8,12840.4,12918.8
2020/11/6,12952.49,12999.16,12927.3,12973.53
2020/11/9,13053.98,13149.9,13048.67,13127.47
2020/11/10,13090.65,13142.22,13022.92,13081.72
2020/11/11,13067.04,13262.19,13067.04,13262.19
2020/11/12,13324.86,13324.86,13193.74,13221.78
2020/11/13,13221.8,13273.33,13170.12,13273.33
2020/11/16,13356.74,13551.83,13356.74,13551.83
2020/11/17,13723.77,13780.12,13593.01,13593.01
2020/11/18,13628.42,13773.29,13608.72,13773.29
2020/11/19,13775.26,13785.92,13700.04,13722.43
2020/11/20,13702.59,13726.22,13666.07,13716.44
2020/11/23,13793.55,13921.16,13793.55,13878.01
2020/11/24,13918.84,13951.17,13798.32,13807.13
2020/11/25,13860.95,13893.2,13731.81,13738.83
2020/11/26,13763.79,13856.76,13763.79,13845.66
2020/11/27,13833.21,13885.01,13811.81,13867.09
2020/11/30,13917.65,13969.39,13722.89,13722.89
2020/12/1,13810.55,13885.67,13749.71,13885.67
2020/12/2,13970.51,13995.7,13894.7,13989.14
2020/12/3,13988.49,14049.58,13940.07,13977.09
2020/12/4,14010.17,14149.56,14010.17,14132.44
2020/12/7,14230,14306.87,14142.02,14256.6
2020/12/8,14251.94,14367,14184.58,14360.4
2020/12/9,14336.69,14427.41,14336.69,14390.14
2020/12/10,14295.15,14319.38,14191.85,14249.49
2020/12/11,14298.59,14353.17,14081.42,14261.69
2020/12/14,14238.92,14270.34,14182.25,14211.05
